Date,Close,Open,High,Low,Volume
12/31/2024,611.5,611.7,611.7,611.7,310
12/30/2024,615.1,623.5,626.5,614.3,760
12/27/2024,621.9,620.6,625.5,616.9,4670
12/24/2024,620,609.8,624.6,609.8,3610
12/23/2024,608.4,609.1,619.3,606.6,10590
12/20/2024,609.1,598,612.2,596.9,10610
12/19/2024,598.5,587.2,611.9,585.8,9120
12/18/2024,587.7,592.3,592.3,583.4,14250
12/17/2024,594,601.1,607.5,592.1,12850
12/16/2024,601.1,612.4,618.4,600.9,19580
12/13/2024,612.5,618.2,622.4,611.3,26300
12/12/2024,618.6,617.9,626,616.2,33540
12/11/2024,622.1,621.7,625.6,616.5,33620
12/10/2024,621.7,618,624.6,612.8,34040
12/09/2024,618.7,609,619.2,604.4,25770
12/06/2024,609,591.7,610.2,590.2,37830
12/05/2024,590.2,579.6,596.8,578.1,32480
12/04/2024,578.2,586.9,586.9,577.1,20110
12/03/2024,586.9,581.5,596.3,580.6,20850
12/02/2024,581.6,575,583.4,570,34530
11/29/2024,574.1,571.3,585.1,568.7,26790
11/28/2024,571.3,564.6,579,563.6,12220
11/27/2024,564.6,580.3,583.2,563.7,29000
11/26/2024,580.3,593.1,593.6,568.1,58230
11/25/2024,593,592.2,600.5,585.3,29010
11/22/2024,592.2,595.8,601,584.2,26470
11/21/2024,595,617.1,619.3,590.4,35600
11/20/2024,617.1,631.4,634.9,615.4,30850
11/19/2024,629.8,645.8,650,629,20220
11/18/2024,648.2,646.5,652.7,633,19430
11/15/2024,646.7,627,652.1,626.4,40760
11/14/2024,613.1,613.1,613.1,613.1,
11/13/2024,634.6,634.6,634.6,634.6,
11/12/2024,643.9,643.9,643.9,643.9,
11/08/2024,650.6,650.6,650.6,650.6,
11/07/2024,645.3,645.3,645.3,645.3,
11/06/2024,633.1,619.6,619.9,619.6,100
11/05/2024,617.1,626.6,626.6,626.1,50
11/04/2024,630.3,630.3,630.3,630.3,
11/01/2024,631.2,640,642.3,636,20
10/31/2024,635.7,629.3,631.1,629.3,10
10/30/2024,624.4,633.7,640.8,633.6,990
10/29/2024,631.8,626.5,640,626.5,2910
10/28/2024,626.5,636.6,643.1,622,5010
10/25/2024,641.4,638.2,642.7,633.9,5020
10/24/2024,638.6,631.5,644.6,631.5,6740
10/23/2024,632.2,631,637.9,628.2,7700
10/22/2024,632.7,620,633.3,614.2,8030
10/21/2024,620.1,615.3,629.2,614.1,10240
10/18/2024,616.1,610,619.9,610,7370
10/17/2024,613.3,599.9,616.5,594.8,13620
10/16/2024,599.6,597.6,616.1,597.6,14580
10/15/2024,598.1,605.8,609.4,597.1,28150
10/11/2024,614.4,610.4,627,609.6,28650
10/10/2024,611.9,614.7,621.4,610.3,20050
10/09/2024,615.1,613,620.5,606.5,28610
