month,close,open,high,low,volume
2010-08,455.44166666666666,455.575,469.4,435.7,139120.0
2010-09,469.66190476190474,468.8095238095238,487.3,453.0,239010.0
2010-10,500.505,497.87,535.7,461.0,188380.0
2010-11,538.6904761904761,538.6333333333333,563.8,519.0,114640.0
2010-12,565.495238095238,564.0714285714286,585.4,536.9,181810.0
2011-01,592.2850000000001,591.405,608.6,569.0,108790.0
2011-02,591.5368421052632,593.3736842105263,619.5,539.7,198610.0
2011-03,573.0260869565218,571.3086956521739,603.4,525.0,122300.0
2011-04,575.9350000000001,577.765,597.9,550.1,177490.0
2011-05,567.8095238095239,567.6142857142856,602.8,540.0,106100.0
2011-06,583.9409090909091,585.6409090909091,603.0,557.2,155260.0
2011-07,568.51,569.345,591.8,546.2,122250.0
2011-08,558.790909090909,557.3181818181819,584.4,532.2,200490.0
2011-09,552.7,555.4714285714285,583.2,522.0,292970.0
2011-10,527.2,527.015,544.6,516.1,165160.0
2011-11,516.6190476190476,517.6476190476191,531.5,496.1,118810.0
2011-12,509.41999999999996,508.87,531.4,496.2,125150.0
2012-01,520.5857142857143,521.2476190476191,530.7,508.1,101380.0
2012-02,547.4399999999999,544.915,583.0,521.2,164010.0
2012-03,595.8363636363637,594.1227272727273,624.5,575.8,162400.0
2012-04,626.73,625.72,665.9,611.0,138720.0
2012-05,615.7863636363636,615.7818181818183,651.8,586.1,71320.0
2012-06,616.2523809523809,616.7761904761904,650.0,593.7,100870.0
2012-07,645.9190476190475,644.8571428571429,691.1,599.7,116820.0
2012-08,618.7772727272727,618.5363636363636,643.2,596.6,179430.0
2012-09,625.0631578947368,627.0631578947368,654.6,588.6,186440.0
2012-10,609.5090909090909,607.7772727272727,626.0,577.8,184550.0
2012-11,590.5190476190476,590.4285714285714,625.0,573.0,91420.0
2012-12,592.0631578947368,591.7894736842105,606.5,572.2,153790.0
2013-01,606.5954545454546,604.959090909091,627.9,589.0,140950.0
2013-02,632.6736842105263,631.6789473684211,650.8,611.0,161700.0
2013-03,632.265,631.3199999999999,645.5,617.1,86200.0
2013-04,627.4772727272727,626.7181818181817,649.2,604.0,164910.0
2013-05,638.7818181818182,637.9409090909091,656.2,620.5,99030.0
2013-06,611.78,612.485,646.8,593.6,96190.0
2013-07,549.3818181818182,551.1636363636363,619.6,481.0,134350.0
2013-08,504.68095238095236,502.92857142857144,544.9,472.4,276450.0
2013-09,494.055,495.1,534.1,477.5,316010.0
2013-10,483.5181818181818,483.30909090909086,496.2,476.1,235880.0
2013-11,487.73999999999995,487.93999999999994,498.9,480.6,118220.0
2013-12,453.3,455.3,493.6,425.2,146310.0
2014-01,426.67272727272723,425.94090909090914,436.8,413.7,100480.0
2014-02,415.7526315789474,416.0,433.7,392.8,137440.0
2014-03,448.7666666666667,448.2714285714286,469.6,424.6,94200.0
2014-04,464.6190476190476,463.2857142857143,494.4,445.0,128580.0
2014-05,485.57142857142856,486.8666666666667,511.2,455.1,67520.0
2014-06,469.6761904761905,467.3619047619048,496.0,447.5,95780.0
2014-07,455.1545454545454,455.00909090909096,509.9,429.1,100250.0
2014-08,430.13500000000005,430.225,447.4,414.5,159940.0
2014-09,408.4047619047619,408.34285714285716,426.0,388.0,184940.0
