country,year,production_tonnes,pesticides_tonnes,nitrogen_kilo_per_acre
Australia,2000,2426000.0,33475.48,36.01
Canada,2000,7205300.0,39718.43,34.22
China,2000,11380579.0,241520.9,170.25
France,2000,3476819.0,97878.0,106.93
Germany,2000,3585661.0,35273.17,122.96
India,2000,5788400.0,44957.52,64.19
Poland,2000,958145.0,8848.0,49.99
World,2000,40203372.0,2175280.2,51.26
Australia,2001,1775019.0,32709.51,37.95
Canada,2001,5017100.0,38501.0,33.74
China,2001,11331445.0,240633.73,171.65
France,2001,2877152.5,99694.0,110.74
Germany,2001,4160093.0,33423.49,119.27
India,2001,4187200.0,43720.04,66.6
Poland,2001,1063638.0,8855.0,49.51
World,2001,35975310.0,2176534.5,51.77
Australia,2002,1755863.0,26650.16,36.37
Canada,2002,4520500.0,34264.57,36.26
China,2002,10552249.0,247523.55,190.82
France,2002,3319958.0,82448.0,101.69
Germany,2002,3848696.0,34431.72,119.22
India,2002,5082600.0,42482.56,61.57
Poland,2002,952737.0,10358.0,49.89
World,2002,35313588.0,2203470.8,53.4
Australia,2003,870827.0,32417.57,35.61
Canada,2003,6771200.0,35628.14,36.71
China,2003,11420000.0,250147.33,191.15
France,2003,3369013.8,74531.0,109.8
Germany,2003,3633936.0,35539.26,121.52
India,2003,3879800.0,41245.08,65.24
Poland,2003,792971.0,7184.0,55.5
World,2003,35874690.0,2310478.2,54.82
Australia,2004,1703117.0,36276.68,36.46
Canada,2004,7673600.0,36163.71,34.54
China,2004,13182000.0,261624.06,198.11
France,2004,3997878.8,76099.0,107.38
Germany,2004,5276589.0,34930.37,117.58
India,2004,6291400.0,35113.0,68.94
Poland,2004,1632919.0,8726.0,55.26
World,2004,46441492.0,2462438.8,56.2
Australia,2005,1542319.0,34310.35,32.05
Canada,2005,9483300.0,36382.29,40.2
China,2005,13052255.0,275573.56,200.26
France,2005,4532787.0,78265.0,101.83
Germany,2005,5051700.0,36386.27,118.0
India,2005,7593100.0,35342.0,74.99
Poland,2005,1449756.0,16039.0,63.68
World,2005,49889680.0,2490860.8,56.46
Australia,2006,1418941.0,35901.27,31.44
Canada,2006,9000300.0,36585.61,31.3
China,2006,10966000.0,290146.0,203.92
France,2006,4144485.0,71612.0,102.09
Germany,2006,5336500.0,38540.15,106.09
India,2006,8131200.0,37423.0,81.2
Poland,2006,1651525.0,17101.0,66.32
World,2006,48661372.0,2482626.5,58.36
Australia,2007,573325.0,32446.24,32.44
Canada,2007,9611100.0,45146.45,47.66
China,2007,10572561.0,306322.88,208.51
France,2007,4691098.0,77255.0,111.67
Germany,2007,5320518.0,40740.64,119.73
India,2007,7438000.0,27422.77,85.21
Poland,2007,2129873.0,18721.0,74.92
