month,temp,sun_time,precip,rain,snow,precip_time,max_wind,max_gust,location_ref
2000-01,-24.962234,202.94722,0.70000005,0.0,1.2600001,7.0,18.057508,40.68,1
2000-02,-17.53451,243.86195,0.1,0.0,0.55999994,1.0,24.023088,54.36,1
2000-03,-6.3266153,296.00528,5.2000003,0.0,7.6300006,19.0,33.3559,71.28,1
2000-04,2.2931108,349.008,1.2,1.0,2.59,5.0,35.141975,77.4,1
2000-05,10.918546,372.09134,4.3,19.0,0.28,14.0,31.293089,70.56,1
2000-06,18.774431,352.83017,22.600002,63.9,0.0,24.0,22.608458,51.839996,1
2000-07,17.71552,323.3396,41.8,128.40001,0.0,24.0,30.77105,66.96,1
2000-08,15.70759,279.3211,8.799999,50.199997,0.0,15.0,24.522316,53.639996,1
2000-09,8.828181,293.8081,16.900002,29.400002,0.0,19.0,27.21038,57.239998,1
2000-10,-2.7680135,234.04388,6.3999996,7.0,8.96,18.0,40.181545,82.439995,1
2000-11,-14.67307,194.94559,3.5999994,0.0,4.62,17.0,28.185953,60.120003,1
2000-12,-21.807327,162.74672,1.1,0.0,4.2,6.0,27.44749,56.16,1
2001-01,-27.871777,180.87137,1.6000001,0.0,5.740001,9.0,25.842384,65.159996,1
2001-02,-20.176378,238.1416,0.0,0.0,0.07,0.0,30.75209,59.76,1
2001-03,-9.932732,283.81775,5.8000007,0.0,11.830001,21.0,33.033802,70.2,1
2001-04,0.620125,296.2753,11.899999,5.6,17.500002,17.0,35.450405,78.479996,1
2001-05,9.269285,365.71426,10.099999,15.3,10.080002,14.0,34.57687,72.36,1
2001-06,19.015194,396.40045,17.1,31.9,0.0,24.0,27.059933,59.399998,1
2001-07,18.662699,349.94272,10.4,55.6,0.0,13.0,23.1774,61.199997,1
2001-08,17.229902,287.5363,14.5,67.299995,0.0,22.0,17.727943,46.44,1
2001-09,8.417556,267.3614,9.6,53.0,0.0,17.0,30.625402,63.0,1
2001-10,-0.82708603,244.1213,8.2,0.7000001,11.83,12.0,34.17157,69.84,1
2001-11,-7.8691106,210.89236,2.4,0.0,3.29,6.0,28.66468,60.479996,1
2001-12,-19.613848,179.76974,2.5000002,0.0,2.6599998,13.0,29.381382,63.72,1
2002-01,-16.117342,187.66501,5.7000003,0.0,6.72,12.0,30.821552,65.88,1
2002-02,-12.480917,236.79141,0.3,0.0,0.63,3.0,37.247387,78.479996,1
2002-03,-3.9110916,282.8136,7.7999988,0.4,11.6900015,24.0,30.599998,67.32,1
2002-04,-1.2452222,300.2182,26.400003,6.8999996,42.140003,24.0,30.978828,72.0,1
2002-05,9.572107,323.5112,14.700001,44.899998,13.440001,20.0,29.947153,60.839996,1
2002-06,16.740263,379.68964,12.3,34.7,0.0,13.0,28.1169,59.039997,1
2002-07,20.157187,377.39017,21.4,69.5,0.0,21.0,22.26477,50.399998,1
2002-08,18.085346,359.29678,16.5,44.800003,0.0,20.0,36.702347,75.6,1
2002-09,9.202903,307.1641,8.299999,22.699999,0.7,14.0,32.110706,65.88,1
2002-10,-3.4414005,232.11392,13.400002,15.900001,6.16,23.0,29.655787,63.0,1
2002-11,-12.446472,177.4219,2.6,0.0,4.34,10.0,23.269482,48.96,1
2002-12,-21.45081,181.40646,0.0,0.0,0.55999994,0.0,23.565567,49.32,1
2003-01,-18.846777,205.75325,0.3,0.0,0.77,3.0,22.033648,48.239998,1
2003-02,-13.247806,216.84401,1.4000001,0.0,1.96,8.0,27.757378,58.32,1
2003-03,-5.2539005,316.34702,1.1,0.6,2.24,4.0,28.954834,62.639996,1
2003-04,2.232139,324.67572,2.9,0.5,3.7800002,11.0,38.275295,81.0,1
2003-05,8.947577,410.56863,5.0,6.1,0.0,8.0,32.83705,69.12,1
2003-06,16.497416,399.01294,1.6,9.1,0.0,5.0,30.096085,64.799995,1
2003-07,18.299728,368.2023,10.6,75.0,0.0,16.0,30.068083,64.439995,1
2003-08,13.310548,279.65125,24.9,96.700005,0.0,21.0,24.26998,52.199997,1
2003-09,6.9696393,250.52039,14.199998,46.6,7.35,24.0,28.30983,61.199997,1
2003-10,-0.3627044,250.88611,5.1,3.0000002,6.5800004,12.0,33.818928,71.28,1
2003-11,-14.798764,171.98448,13.799998,0.099999994,16.310001,22.0,26.282465,56.16,1
2003-12,-17.353027,180.65645,1.1,0.0,2.45,7.0,30.911821,62.279995,1
2004-01,-19.623392,195.66829,0.8000001,0.0,3.0800004,8.0,28.58545,56.16,1
2004-02,-15.868561,239.53624,1.5,0.0,2.59,5.0,27.890127,57.6,1
2004-03,-9.258403,280.15088,5.6,0.0,8.400001,22.0,36.57855,75.24,1
2004-04,0.9517222,328.15546,1.9000001,3.7,4.69,8.0,36.088093,77.76,1
2004-05,7.0416646,357.1731,10.299999,17.1,9.099999,13.0,37.179478,82.079994,1
2004-06,18.581652,389.22156,9.5,31.3,0.0,17.0,29.515608,63.0,1
2004-07,19.810884,415.19803,18.599998,46.300003,0.0,15.0,29.88,72.0,1
2004-08,14.974123,323.55734,21.100002,52.100002,0.0,17.0,27.345785,56.519997,1
2004-09,8.702,259.91013,21.2,62.0,0.0,24.0,28.03612,56.16,1
2004-10,1.7612203,258.17657,2.0000002,6.0,1.75,9.0,30.10685,68.03999,1
2004-11,-7.600083,187.7997,2.3,0.0,4.2700005,10.0,30.10685,62.639996,1
2004-12,-18.080582,184.70052,0.0,0.0,0.77,0.0,21.889065,45.36,1
2005-01,-20.85968,194.93625,0.3,0.0,0.84,3.0,27.248455,55.44,1
2005-02,-20.831884,223.71751,0.0,0.0,0.35000002,0.0,29.69727,62.279995,1
2005-03,-6.903027,310.66504,0.5,0.0,1.05,4.0,38.30407,79.56,1
2005-04,-0.06279176,260.39157,12.1,8.5,30.38,23.0,38.546906,82.079994,1
2005-05,7.6793656,359.46866,9.7,23.4,7.6300006,20.0,32.909985,73.799995,1
2005-06,15.329847,334.1943,22.599998,102.2,0.0,24.0,27.783045,73.079994,1
2005-07,18.070965,339.08942,21.099998,76.9,0.0,22.0,22.963936,54.719997,1
2005-08,16.52372,363.00528,11.7,28.2,0.0,11.0,26.302181,57.6,1
2005-09,8.352902,254.6373,37.399998,63.299995,22.61,24.0,23.933908,51.48,1
2005-10,1.4967042,242.61433,1.4000001,4.0,0.56,4.0,33.190357,82.439995,1
2005-11,-9.2455,177.24269,4.7999997,0.2,7.42,9.0,32.20944,66.96,1
2005-12,-19.95975,173.46199,1.7,0.0,5.2500005,9.0,28.04305,59.039997,1
2006-01,-22.744425,198.61543,1.2,0.0,2.87,8.0,24.826952,51.12,1
2006-02,-18.76477,234.91504,2.5,0.0,2.17,7.0,32.35997,71.28,1
2006-03,-8.552154,286.88535,1.1,0.0,5.39,6.0,31.569351,68.4,1
2006-04,-2.56175,300.85965,5.499999,1.1,15.820002,21.0,42.76885,86.03999,1
2006-05,6.9837337,342.089,12.300001,31.0,11.34,18.0,36.152676,76.67999,1
2006-06,14.617833,359.81107,7.1000004,30.0,0.0,12.0,32.136932,66.6,1
2006-07,18.865185,395.7417,5.7999997,26.8,0.0,9.0,19.813087,46.079998,1
2006-08,14.915791,311.39975,9.9,41.399998,0.0,15.0,33.908863,84.96,1
2006-09,9.307624,277.8424,16.1,48.1,0.0,17.0,29.947153,64.079994,1
2006-10,0.18917738,261.09564,0.5,0.5,1.05,3.0,33.24498,72.36,1
2006-11,-8.906403,190.75331,0.7,0.2,2.94,4.0,32.688713,71.64,1
2006-12,-16.566133,168.44366,2.2,0.0,3.36,11.0,22.027763,48.96,1
2007-01,-17.87339,192.91699,1.4000002,0.0,2.0300002,12.0,23.358425,49.68,1
2007-02,-11.494979,236.71764,0.4,0.0,0.7,3.0,35.246925,73.799995,1
2007-03,-7.8219786,296.36047,2.0000002,0.0,4.76,10.0,23.557316,52.56,1
2007-04,2.8225555,313.77475,3.9000003,5.5,6.7900004,12.0,37.52471,77.76,1
2007-05,9.745427,318.99664,17.9,41.3,0.49,24.0,36.659946,81.0,1
2007-06,16.698805,371.8141,16.699999,52.399998,0.0,16.0,32.688713,80.64,1
2007-07,20.249863,392.4041,6.9999995,37.2,0.0,9.0,30.319181,68.4,1
2007-08,18.447172,311.6471,7.7999997,44.7,0.0,16.0,25.43802,54.36,1
2007-09,11.518666,297.41577,6.9999995,14.4,0.0,9.0,38.12602,75.96,1
2007-10,0.21404302,255.43242,5.1000004,2.6,5.04,13.0,26.729847,57.6,1
2007-11,-8.196263,192.15292,0.5,0.0,1.75,3.0,34.275703,71.64,1
2007-12,-15.061764,166.80043,5.900001,0.0,8.33,21.0,23.847115,50.399998,1
2008-01,-22.004103,207.54535,0.2,0.0,0.35,2.0,26.081993,53.28,1
2008-02,-15.666694,241.94754,1.1,0.0,1.6100001,10.0,28.916763,61.199997,1
2008-03,-3.0982554,304.7141,1.4000001,0.6,3.08,6.0,33.75948,75.96,1
2008-04,2.4017222,316.4352,4.1,4.4,6.72,10.0,31.688177,74.88,1
2008-05,6.9243927,278.61386,14.799999,61.800003,10.29,19.0,39.32083,79.2,1
2008-06,16.76818,354.08527,15.6,74.799995,0.0,23.0,25.582806,56.16,1
2008-07,18.136286,369.57172,32.899998,123.99999,0.0,22.0,33.588207,71.28,1
2008-08,15.224795,320.45413,18.5,75.4,0.0,18.0,35.246925,73.439995,1
2008-09,7.921445,248.50398,9.300001,49.4,0.0,19.0,31.450073,65.159996,1
2008-10,0.09556178,214.74742,7.0,4.7000003,16.24,19.0,32.714474,68.4,1
2008-11,-8.917375,190.14873,1.6000001,0.1,4.9700003,8.0,32.59939,67.67999,1
2008-12,-16.939518,186.4653,0.8000001,0.0,1.54,7.0,30.351225,61.56,1
2009-01,-20.656658,201.95,3.3000002,0.0,4.06,19.0,26.61323,55.8,1
2009-02,-17.901676,228.77634,3.6000001,0.0,4.9000006,14.0,31.786186,65.88,1
2009-03,-9.032261,293.26797,2.4,0.0,3.22,13.0,32.696644,72.0,1
2009-04,4.0829725,325.07193,5.0000005,3.2,3.92,12.0,29.162222,60.479996,1
2009-05,9.938908,360.21207,10.8,16.4,9.66,11.0,43.738148,108.36,1
2009-06,14.769291,356.18195,21.3,74.4,0.0,15.0,29.308508,59.76,1
2009-07,18.158329,380.85464,12.4,48.7,0.0,22.0,24.75638,55.079998,1
2009-08,15.119351,320.02267,23.600002,80.0,0.0,16.0,25.284714,54.0,1
2009-09,7.002625,271.89996,18.7,54.5,1.4699999,23.0,36.869694,77.03999,1
2009-10,-1.4602175,258.5047,3.4,2.7,3.99,11.0,26.260265,55.44,1
2009-11,-12.142237,185.93655,3.3999996,0.1,8.96,21.0,28.202042,57.6,1
2009-12,-23.431387,168.33159,3.9000003,0.0,8.469999,16.0,26.64,55.079998,1
2010-01,-24.051012,200.19615,0.4,0.0,1.47,2.0,34.936695,77.03999,1
2010-02,-20.517748,219.03104,2.7,0.0,6.6499996,16.0,30.926489,65.520004,1
2010-03,-12.5679455,281.24637,2.9999998,0.0,8.4,19.0,28.503725,57.6,1
2010-04,-3.080847,331.00595,2.9000003,1.2,4.13,7.0,40.846912,84.6,1
2010-05,8.57325,317.06516,36.500004,53.9,29.96,24.0,30.489683,69.84,1
2010-06,17.886652,373.03763,12.9,45.5,0.0,20.0,27.729347,53.639996,1
