,country,year,production_tonnes,pesticides_tonnes,nitrogen_kilo_per_acre,region,weight,location_ref,plant_mon,harvest_mon,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,sun_time_01,sun_time_02,sun_time_03,sun_time_04,sun_time_05,sun_time_06,sun_time_07,sun_time_08,sun_time_09,sun_time_10,sun_time_11,sun_time_12,precip_01,precip_02,precip_03,precip_04,precip_05,precip_06,precip_07,precip_08,precip_09,precip_10,precip_11,precip_12,rain_01,rain_02,rain_03,rain_04,rain_05,rain_06,rain_07,rain_08,rain_09,rain_10,rain_11,rain_12,snow_01,snow_02,snow_03,snow_04,snow_05,snow_06,snow_07,snow_08,snow_09,snow_10,snow_11,snow_12,precip_time_01,precip_time_02,precip_time_03,precip_time_04,precip_time_05,precip_time_06,precip_time_07,precip_time_08,precip_time_09,precip_time_10,precip_time_11,precip_time_12,max_wind_01,max_wind_02,max_wind_03,max_wind_04,max_wind_05,max_wind_06,max_wind_07,max_wind_08,max_wind_09,max_wind_10,max_wind_11,max_wind_12,max_gust_01,max_gust_02,max_gust_03,max_gust_04,max_gust_05,max_gust_06,max_gust_07,max_gust_08,max_gust_09,max_gust_10,max_gust_11,max_gust_12
0,Australia,2000,2426000.0,33475.48,36.01,West,0.5,9.0,6.0,10.0,2.0810673,2.1223793,9.171861,15.566069,20.76823,23.561,27.23174,26.580328,22.571001,17.4185,9.752806,6.0920215,151.72314,241.79675,281.0722,285.0809,271.81534,248.2021,302.62363,277.5184,208.86023,149.37459,164.1407,183.6596,18.699999,21.499998,9.200001,6.8999996,82.5,78.0,35.699997,20.800001,18.1,23.5,27.799997,6.7999997,59.6,26.199999,23.2,15.1,156.6,327.30002,156.3,101.8,74.7,96.4,90.700005,16.6,3.5,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97999996,24.0,21.0,17.0,10.0,23.0,24.0,21.0,24.0,17.0,20.0,24.0,13.0,25.40743,31.470673,32.86861,33.99475,30.737339,26.009842,26.415268,29.834423,32.49785,26.89419,28.001427,26.6327,48.239998,56.16,73.079994,63.36,66.6,61.920002,54.36,65.520004,65.159996,55.079998,54.719997,53.639996
1,Australia,2000,2426000.0,33475.48,36.01,East ,0.5,10.0,6.0,10.0,12.266533,9.048133,10.702419,14.622916,18.298992,22.694653,25.856384,26.368147,25.706806,21.647781,18.30493,13.252621,176.88846,226.33891,249.53671,252.91927,304.59708,225.31976,340.784,330.59494,307.46417,239.75407,149.44705,174.98172,31.800001,25.500004,27.400002,29.000002,31.800003,40.699997,65.9,93.899994,21.3,38.5,70.3,54.6,216.3,231.1,216.6,107.700005,134.7,208.0,188.2,224.99998,129.1,222.1,239.1,297.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,23.0,24.0,20.0,24.0,24.0,24.0,17.0,16.0,24.0,24.0,67.49592,87.6539,76.294525,67.42003,56.174995,51.12127,66.412926,70.59122,54.479076,58.56836,57.924213,79.01815,100.799995,135.72,126.72,99.36,77.76,70.92,105.479996,103.32,78.479996,84.96,81.72,120.240005
2,Canada,2000,7205300.0,39718.43,34.22,Alberta,0.25,1.0,5.0,9.0,-24.962234,-17.53451,-6.3266153,2.2931108,10.918546,18.774431,17.71552,15.70759,8.828181,-2.7680135,-14.67307,-21.807327,202.94722,243.86195,296.00528,349.008,372.09134,352.83017,323.3396,279.3211,293.8081,234.04388,194.94559,162.74672,0.70000005,0.1,5.2000003,1.2,4.3,22.600002,41.8,8.799999,16.900002,6.3999996,3.5999994,1.1,0.0,0.0,0.0,1.0,19.0,63.9,128.40001,50.199997,29.400002,7.0,0.0,0.0,1.2600001,0.55999994,7.6300006,2.59,0.28,0.0,0.0,0.0,0.0,8.96,4.62,4.2,7.0,1.0,19.0,5.0,14.0,24.0,24.0,15.0,19.0,18.0,17.0,6.0,18.057508,24.023088,33.3559,35.141975,31.293089,22.608458,30.77105,24.522316,27.21038,40.181545,28.185953,27.44749,40.68,54.36,71.28,77.4,70.56,51.839996,66.96,53.639996,57.239998,82.439995,60.120003,56.16
3,Canada,2000,7205300.0,39718.43,34.22,Saskatchewan,0.75,2.0,5.0,9.0,-26.529072,-17.431496,-8.971613,-2.9079862,5.382016,14.180555,13.062123,12.374891,6.4647913,-8.991573,-19.323889,-22.195335,195.31108,234.81607,310.4653,348.86682,362.17053,367.8151,304.7093,305.5437,298.23105,229.61575,201.83087,179.41501,0.0,2.0000002,2.5,14.299999,8.899999,23.099997,15.999999,33.2,17.699999,6.0,3.6,3.7,0.0,0.0,0.4,1.8,35.1,54.799995,153.59999,139.29999,49.200005,2.7,0.0,0.0,0.63,4.830001,11.6900015,29.47,4.76,0.0,0.0,0.21000001,6.9300003,25.76,10.43,10.43,0.0,16.0,17.0,13.0,21.0,23.0,19.0,24.0,24.0,19.0,12.0,15.0,14.003029,16.203999,23.97989,35.66908,30.619051,30.978832,22.35481,24.216522,22.751316,29.528778,27.0024,28.47643,34.92,41.039997,56.88,84.6,77.76,78.479996,62.279995,63.36,57.6,70.92,63.0,67.32
4,China,2000,11380579.0,241520.9,170.25,West,0.5,3.0,9.0,5.0,3.6877744,3.5354686,9.816739,14.030167,19.445839,20.505306,22.803637,21.592344,18.508707,14.743217,8.354125,5.6668067,101.164314,78.70314,109.134514,151.6936,258.85706,166.01361,265.19998,210.48691,176.35246,127.11143,114.181274,94.38391,9.600001,15.2,13.900001,23.7,24.800001,48.6,23.7,37.299995,42.000004,21.199999,11.499998,9.5,91.200005,79.6,109.5,129.6,124.700005,311.6,224.90001,244.49998,236.6,108.3,79.1,73.4,15.890001,10.500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.19,24.0,24.0,24.0,22.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,12.245293,11.874544,12.6462,19.083395,17.163355,13.392774,18.36353,10.931203,12.324414,13.905509,14.372974,10.30883,31.319998,34.92,39.6,59.039997,48.6,33.48,55.44,33.839996,33.12,35.64,39.6,32.039997
5,China,2000,11380579.0,241520.9,170.25,East,0.5,4.0,9.0,5.0,2.2670858,2.4303992,8.52058,12.794042,18.257206,20.203833,22.938253,21.494772,18.457304,14.469841,7.998903,5.409962,130.50964,87.04764,111.410255,125.00464,224.56306,258.0682,333.9596,271.03647,231.99385,128.5878,152.07922,161.87506,21.500002,13.799999,41.9,73.399994,42.100002,68.0,15.199999,21.800003,50.9,45.500004,28.199999,11.300001,122.50001,89.4,215.1,426.49997,260.2,329.9,102.799995,264.6,149.7,237.1,105.9,27.400002,4.1299996,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,23.0,24.0,24.0,24.0,23.0,24.0,14.0,19.0,22.0,24.0,24.0,23.0,15.496736,12.245294,13.324863,18.359999,15.546833,18.504139,17.57744,18.532133,17.786331,15.546833,13.004921,11.592895,43.199997,34.92,54.36,50.76,60.839996,63.36,50.039997,62.639996,52.56,42.839996,39.6,32.039997
6,France,2000,3476819.0,97878.0,106.93,France,1.0,5.0,9.0,7.0,-0.6610995,3.5860317,5.0845995,10.131541,14.774922,17.541681,15.77761,18.840513,14.502236,10.618537,5.142653,2.7624893,139.53143,164.80928,202.5176,286.07895,335.99377,381.23654,328.7201,325.86484,254.6769,145.46176,151.9007,162.96066,15.8,8.4,22.4,10.700001,35.999996,20.2,19.699999,43.5,46.3,21.100002,7.9,12.500001,33.9,72.5,115.0,48.4,166.09999,56.2,152.0,127.4,110.2,94.4,52.800003,33.4,16.03,10.15,9.030001,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.14,6.1600003,24.0,21.0,24.0,21.0,23.0,15.0,21.0,24.0,21.0,24.0,24.0,22.0,38.773182,38.12602,36.409866,24.64094,24.162945,20.46941,27.811018,24.522316,26.674032,25.959969,26.6327,30.500309,97.2,78.12,82.079994,53.639996,58.679996,52.199997,60.120003,48.6,61.56,46.8,47.16,74.159996
7,Germany,2000,3585661.0,35273.17,122.96,Germany,1.0,6.0,9.0,7.0,1.0599247,3.7775948,5.3263226,10.189472,14.923769,17.169125,15.491981,17.983648,14.078639,11.1667795,6.175514,2.7618062,102.23214,160.01898,171.09021,280.9209,375.0022,371.92047,252.1306,338.09598,227.9108,162.53535,128.5656,107.86248,11.3,15.900001,10.199999,8.4,9.8,9.400002,8.3,8.9,9.5,10.699999,8.1,7.600001,37.600002,37.2,69.0,35.2,29.300001,36.2,84.0,37.1,59.1,46.100002,28.900002,18.7,2.17,13.229999,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,18.0,19.0,20.0,15.0,16.0,11.0,14.0,8.0,14.0,18.0,15.0,23.0,35.58359,36.16701,42.144608,24.850431,30.676142,24.535526,26.14403,19.914215,23.469128,33.772907,26.459387,37.10795,85.67999,75.24,91.439995,63.36,69.479996,51.48,56.519997,58.679996,54.719997,69.479996,50.399998,68.4
8,India,2000,5788400.0,44957.52,64.19,India,1.0,8.0,11.0,4.0,14.06403,14.875204,22.2977,30.711582,34.356438,33.252556,29.162416,29.784998,30.380125,27.803345,21.253113,15.52485,295.20398,277.37115,345.24814,354.7762,374.13983,352.06396,241.30331,343.44067,336.45795,329.3832,291.90805,290.43848,12.599999,11.500001,4.4,1.9,14.1,26.100002,30.400002,7.9,3.5,0.0,0.70000005,3.8000002,14.799999,15.300001,7.6,2.7,27.4,50.700005,173.7,49.5,10.3,0.0,0.70000005,3.8000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,2.0,1.0,11.0,17.0,20.0,11.0,3.0,0.0,4.0,9.0,23.199759,21.602999,23.966375,27.645092,29.301878,28.202042,27.729347,24.967499,21.746502,15.9134655,19.008545,17.713316,43.199997,43.92,46.44,60.479996,52.92,55.44,50.399998,45.0,43.199997,32.760002,37.44,34.92
9,Poland,2000,958145.0,8848.0,49.99,Poland,1.0,7.0,9.0,7.0,-0.23394087,2.6108937,3.3535593,11.030333,14.622846,16.790888,15.710615,17.250132,12.184708,11.991462,6.6778336,1.9063817,88.60004,133.13216,150.19072,312.52115,385.84772,344.35812,228.88925,340.2091,228.1083,175.27449,65.00152,82.36002,7.2999997,6.2,10.599999,6.8,7.9,7.3999996,22.099998,32.3,18.4,6.8999996,15.4,7.0,25.4,34.8,41.8,28.6,38.2,37.1,123.7,85.4,46.4,22.800001,55.1,19.8,4.27,3.71,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,13.0,13.0,15.0,14.0,15.0,13.0,21.0,11.0,12.0,11.0,23.0,12.0,45.247,38.2973,37.669487,30.652895,24.627789,27.70831,26.983194,28.515089,25.671307,30.555498,30.319178,28.412645,97.92,69.479996,77.4,70.92,53.28,59.399998,50.399998,55.44,48.96,55.079998,60.120003,60.839996
