month,temp,sun_time,precip,rain,snow,precip_time,max_wind,max_gust,location_ref
2020-01,-15.551492,202.104,1.2000002,0,1.75,12,24.490585,52.92,1
2020-02,-12.447758,232.68958,2.3999999,0.2,3.2900002,15,23.34455,50.399998,1
2020-03,-4.9580107,300.11758,1.5,0,3.15,6,45.845966,95.399994,1
2020-04,4.2613893,344.44885,3.5,1.1,3.6400003,13,34.966362,74.88,1
2020-05,9.592191,282.20297,11.2,37.7,0.35,20,41.21646,86.76,1
2020-06,14.993124,322.31314,26.300003,77,0,20,26.758923,56.88,1
2020-07,19.143265,355.40637,16.300001,81.9,0,16,26.141552,68.4,1
2020-08,14.797903,254.76917,26.1,213.8,0,23,26.882141,54,1
2020-09,9.62132,283.21463,9.4,30.599998,0.42,14,32.831135,68.76,1
2020-10,-0.93885744,221.92317,18.6,6,29.890003,24,36.08091,75.6,1
2020-11,-7.519236,186.15962,2.6999996,0.1,5.6000004,15,28.079998,60.839996,1
2020-12,-17.297594,191.62364,0.6,0,1.12,6,30.05515,63,1
2021-01,-21.572393,193.84052,3.9,0,6.7200003,22,26.758923,56.519997,1
2021-02,-16.879583,220.33714,7.7999997,0,10.640001,15,29.834423,63,1
2021-03,-6.241075,273.56396,3.6999998,0,10.08,17,34.70407,73.799995,1
2021-04,1.206389,328.31784,4.5,1.3,7.42,10,35.768856,78.479996,1
2021-05,6.071156,286.5863,10.700001,21.6,17.15,23,35.770668,77.4,1
2021-06,15.613264,318.94186,21.2,102.8,0.07,23,31.869658,76.32,1
2021-07,17.99078,341.27994,22.2,138,0,18,22.26477,51.12,1
2021-08,15.808588,324.34167,19.500002,67.200005,0,18,27.381308,58.679996,1
2021-09,8.276875,268.00616,15.9,92.100006,1.19,21,33.657593,68.4,1
2021-10,0.23016134,239.92267,4.7999997,1,5.53,10,28.227304,59.039997,1
2021-11,-7.5935416,172.31834,2.9000003,0,7.6300006,19,30.676142,66.96,1
2021-12,-14.309825,178.70517,1.5000002,0,3.57,12,34.387066,71.28,1
2022-01,-19.309624,183.94647,1.6000003,0,2.94,14,26.124195,52.199997,1
2022-02,-16.805326,221.57973,1.5000002,0,1.9599999,15,26.925497,54.36,1
2022-03,-7.749677,295.11197,3.6000004,0,5.7400002,12,37.731365,75.96,1
2022-04,1.4322917,276.71796,15.999999,1.6,24.15,17,35.98559,73.079994,1
2022-05,9.799785,327.78412,10.599999,21.6,8.469999,18,32.271744,68.76,1
2022-06,16.609653,351.02982,12.5,64.600006,0,21,27.890127,56.519997,1
2022-07,18.095148,332.24185,23,154.40001,0,23,24.951921,53.639996,1
2022-08,13.652003,372.02774,28.2,38.800003,0,16,27.834309,58.32,1
2022-09,9.082292,241.40154,36.000004,111.100006,4.27,23,29.601109,60.479996,1
2022-10,-0.7049192,233.44612,5,0,10.01,17,31.828968,64.799995,1
2022-11,-9.601042,183.0134,1.3000002,0,3.08,13,26.400545,53.28,1
2022-12,-18.276358,176.05484,1.3000001,0,3.2199998,10,41.251034,87.12,1
2023-01,-19.38785,185.13351,1.4000001,0,4.7599998,8,29.651413,60.839996,1
2023-02,-12.86872,226.19872,1.7,0.20000002,3.9900002,8,26.795223,54.719997,1
2023-03,-4.094704,272.75778,16.8,0.4,19.6,21,38.01198,78.12,1
2023-04,-1.1056943,283.47354,4.399999,0.70000005,10.36,17,37.801712,82.079994,1
2023-05,7.83547,358.45276,6.6,24.1,1.89,13,33.58821,70.92,1
2023-06,14.664097,345.7195,22.599998,79.1,0,16,34.38895,72,1
2023-07,18.170687,352.25458,18.700003,111.700005,0,18,24.863468,57.239998,1
2023-08,15.982379,307.3379,10.8,64.8,0,19,36.06474,71.64,1
2023-09,9.854306,257.7776,16.300001,55.5,0,14,33.75948,67.67999,1
2023-10,2.6009276,277.67227,1.7000003,1.6000001,2.24,10,35.58905,72.36,1
2023-11,-10.56868,183.89357,2.4999998,0.2,5.6700006,24,29.354902,59.039997,1
2023-12,-17.794235,167.41714,1.7000002,0,3.5700002,9,35.188046,75.24,1
2024-01,-17.666882,203.24432,0.5,0,0.98,3,25.959969,51.48,1
2024-02,-16.733606,235.41727,4.2,0,4.1299996,12,25.277023,51.12,1
2024-03,-5.5784407,304.85178,1.3000001,0,1.89,8,33.24888,66.96,1
2024-04,2.0193057,295.21774,20.099998,12.5,20.51,19,37.63679,79.2,1
2024-05,10.345685,333.36533,5.2,17.1,6.02,11,38.966568,78.84,1
2024-06,16.603819,355.2987,20.9,105.799995,0,15,26.674032,56.88,1
2024-07,21.60859,389.20316,24.300001,79.200005,0,15,22.38378,46.079998,1
2024-08,17.965443,337.8991,25.5,75.600006,0,12,25.1614,49.68,1
2024-09,8.793056,291.7359,7.8999996,28.1,0.49,8,35.413826,76.67999,1
2024-10,-0.6234676,244.53615,14.400001,3.5999997,14.35,17,36.82793,73.079994,1
2024-11,-8.57493,148.40038,6.2999997,0,13.4400015,17,24.864119,56.88,1
2024-12,-16.570108,186.73727,0.5,0,1.05,5,26.121714,56.88,1
2025-01,-15.131667,6.517094,0,0,0,0,20.696085,44.639996,1
2020-01,-16.664406,201.20296,4.499999,0.2,9.309999,18,21.647945,78.12,2
2020-02,-14.233925,227.9212,4.2999997,0.1,9.31,19,19.652176,61.56,2
2020-03,-9.495992,276.64978,14.400002,0.50000006,33.739998,21,30.244286,106.2,2
2020-04,0.85313886,327.63553,13.200001,2,20.159998,24,24.288662,86.03999,2
2020-05,4.6324353,344.41507,19,72.1,47.950005,22,29.215502,109.079994,2
2020-06,10.465917,355.4041,19.400003,133.50002,3.29,17,22.086521,84.6,2
2020-07,13.575582,340.97137,22.200003,142.6,0,22,29.337238,107.27999,2
2020-08,11.09265,294.64932,56.60001,259.90002,0,24,25.932495,92.52,2
2020-09,4.940361,253.6828,38.100002,74.8,83.65,24,23.906818,80.64,2
2020-10,-3.848882,228.18356,18.600002,0.3,41.16,23,28.496904,96.84,2
2020-11,-10.934083,161.3134,5.2000003,0.3,32.34,24,21.2522,90,2
2020-12,-21.325495,172.56021,4.3,0.1,21.210003,24,20.774214,78.479996,2
2021-01,-22.22321,162.7139,4.1,0.3,24.36,24,25.60053,93.6,2
2021-02,-16.345884,203.89154,4.1999993,0,17.22,19,25.241108,85.67999,2
2021-03,-8.234702,294.89407,16.5,0.1,27.93,13,38.445908,135.35999,2
2021-04,-4.182,274.50742,11.599999,0.5,42.63,22,27.193705,100.799995,2
2021-05,0.9497742,295.31967,19.7,51.8,74.83,22,29.070974,106.2,2
2021-06,9.180639,290.98663,19.599998,115.700005,9.240001,24,25.982424,95.03999,2
2021-07,13.365702,307.2234,23.700003,137.90001,0,24,22.7057,81.72,2
2021-08,11.005621,281.1551,32.100002,234.40001,0,24,25.620771,93.6,2
2021-09,3.5156388,251.0564,21.2,68.2,39.13,24,20.570463,72.36,2
2021-10,-2.1451855,243.1184,26.800001,0.2,43.469997,24,24.609364,86.399994,2
2021-11,-10.653944,184.7946,7.8,0.099999994,25.060001,24,27.419146,90.36,2
2021-12,-16.470118,163.42493,5.6,0.19999999,23.170002,22,20.5484,71.28,2
2022-01,-17.445858,181.7568,3.6,0.10000001,11.4800005,13,16.595179,66.96,2
2022-02,-17.524456,205.52495,7.0000014,0.2,21.21,24,19.70815,67.32,2
2022-03,-11.868572,298.9724,4.2000003,0.10000001,17.220001,20,24.387177,87.479996,2
2022-04,-3.2872086,297.75754,12.900001,0.1999999,33.670002,19,25.420181,83.159996,2
2022-05,6.039223,387.66406,11.000001,28.699999,18.2,14,27.72,88.92,2
2022-06,11.278903,330.584,18.699999,155.8,11.97,21,24.187069,81,2
2022-07,11.737207,297.0797,30.2,145.8,0,21,21.485697,66.96,2
2022-08,9.345406,294.96573,19.5,174.4,7.21,20,20.12461,64.079994,2
2022-09,5.2229304,243.14493,22.700003,52.1,37.1,17,24.798225,81.72,2
2022-10,-3.4283843,229.70735,10.799998,0.3,35,21,28.551426,92.88,2
2022-11,-13.536513,182.5304,5.5,0.3,22.4,24,23.4,76.67999,2
2022-12,-19.989002,143.66376,5.0000005,0.4,30.170002,24,23.828083,87.84,2
2023-01,-21.619446,179.93472,5.6000004,0,16.240002,24,21.046917,77.03999,2
2023-02,-15.383161,227.49362,5.7999997,0,11.620001,19,23.14103,79.56,2
2023-03,-8.817162,278.32443,12.6,0.3,37.66,22,33.528355,105.12,2
2023-04,-7.160403,297.5602,22.400003,2.1,67.41,24,28.664682,97.56,2
2023-05,1.0333091,292.3574,30.999998,25.800001,55.09,24,26.649727,91.439995,2
2023-06,10.937861,321.19693,22.9,111.700005,1.7500001,21,26.009842,85.67999,2
2023-07,13.518726,302.23215,51.899994,254.7,0,24,25.338476,76.32,2
2023-08,12.631562,313.0369,28.8,186.7,0,24,21.188072,61.56,2
2023-09,6.3783474,214.81068,27.199999,103.4,19.18,24,21.599998,64.799995,2
2023-10,0.68317467,239.8972,13.500002,7.1000004,26.04,24,33.603645,100.439995,2
2023-11,-13.2838745,138.83063,12.400002,0.3,55.72,24,25.6233,77.76,2
2023-12,-20.133625,147.30449,10.3,0.5,25.480001,22,27.153164,79.56,2
2024-01,-18.555063,191.87227,10.000001,0.2,18.06,18,30.453527,93.24,2
2024-02,-19.342617,223.09927,6.4,0.1,11.9,24,23.042812,69.479996,2
2024-03,-9.568439,280.77985,9.000001,0.2,27.300001,17,34.213257,101.88,2
2024-04,-2.2750556,305.22934,16.7,6,48.44,24,31.212229,93.24,2
2024-05,6.62921,330.8192,15.5,53.5,17.99,20,29.5551,88.56,2
2024-06,11.172028,332.6807,17.900002,112.8,12.46,24,29.528778,86.03999,2
2024-07,15.730958,319.49597,23.9,163.3,0,24,22.33161,64.439995,2
2024-08,13.723431,291.59012,25.4,196.6,0,24,23.233253,75.24,2
2024-09,4.0223055,217.22,20.599998,46,36.75,24,21.26744,60.839996,2
2024-10,-2.7439759,220.95049,20.400002,3.6999998,46.55,23,31.479935,96.12,2
2024-11,-9.084014,139.46596,11.6,1.2,46.829998,24,29.433163,94.67999,2
2024-12,-16.655066,140.05136,10.499998,0.2,24.990002,24,24.863468,78.84,2
2025-01,-19.186579,6.3836093,0.2,0,0.14,2,5.8048253,27.359999,2
2020-01,4.62039,51.620632,9.2,66.700005,0,24,11.966953,29.88,3
2020-02,7.171235,109.805374,10.500001,45.800003,0.07,24,14.986553,34.92,3
2020-03,11.722809,183.02496,23.599998,89.1,0,24,18.64369,43.56,3
2020-04,13.747013,180.65067,11.200001,100.7,0,24,15.192682,34.2,3
2020-05,20.09969,261.53726,14.600001,93.4,0,23,17.447933,40.32,3
2020-06,22.166319,249.44058,132.4,315.9,0,24,13.905509,37.44,3
2020-07,22.922,217.57195,52.100006,298.30002,0,24,13.896187,33.48,3
2020-08,23.434166,274.06805,80.70001,376.80002,0,21,14.8257065,42.12,3
2020-09,19.035831,145.3112,36.199997,290.1,0,24,13.049689,29.88,3
2020-10,13.684636,85.72185,16.900002,185.40001,0,24,12.387348,29.16,3
2020-11,10.618542,156.80171,7.0000005,44.5,0,24,15.509274,34.92,3
2020-12,2.734839,54.536537,7.1,42.2,5.88,24,13.0447235,30.239998,3
2021-01,2.525632,105.23438,8.6,23.500002,12.950001,24,11.901798,28.8,3
2021-02,9.65046,155.51866,7.2,46.5,0,24,12.57426,30.960001,3
2021-03,11.958696,186.80896,10.8,78,0,23,17.782688,41.039997,3
2021-04,14.247777,137.49261,11.5,149.6,0,24,15.941944,36.719997,3
2021-05,19.012592,253.04169,19.2,155.7,0,24,16.954432,41.399998,3
2021-06,21.491596,214.59653,71.600006,237.80002,0,24,22.104116,51.839996,3
2021-07,23.483025,257.4164,62.399998,335.69998,0,24,11.808878,35.64,3
2021-08,22.749958,222.39027,36.999996,333.6,0,24,14.799459,33.839996,3
2021-09,21.406181,240.5801,26.700003,225,0,23,15.905319,37.8,3
2021-10,14.509838,79.04926,15.900002,163.4,0,24,13.089354,32.760002,3
2021-11,8.544652,122.60391,9.1,55.600002,0,23,18.228943,47.519997,3
2021-12,5.594919,93.614235,6.9999995,23,0.97999996,22,15.273505,34.2,3
2022-01,4.8392067,73.24878,6.1000004,25.600002,4.13,16,13.479583,32.039997,3
2022-02,3.7736757,85.86899,6.799999,24.9,8.610001,24,15.546833,36.719997,3
2022-03,14.190684,217.31346,21.3,92.8,0,23,15.459054,39.96,3
2022-04,15.369721,217.51009,18.500002,140.3,0,24,18.486622,55.8,3
2022-05,17.644112,202.42822,24.099998,164.7,0,24,13.684735,33.12,3
2022-06,22.006527,192.2587,47.2,206.70001,0,20,18.72346,46.079998,3
2022-07,25.217903,296.84732,19.499998,77.5,0,19,16.215992,42.839996,3
2022-08,26.207754,314.5823,24.800005,162.5,0,18,16.055353,34.92,3
2022-09,19.445902,169.43031,39.9,197.8,0,24,12.387348,29.16,3
2022-10,15.586452,158.43263,30.100002,124.5,0,24,13.684735,30.239998,3
2022-11,12.852153,156.95206,12.5,78.5,0.42000002,21,15.978484,40.32,3
2022-12,3.8519087,77.454605,7.5000005,33.100002,1.68,21,12.72283,31.319998,3
2023-01,3.4351075,137.58452,4.4999995,8.900001,3.64,19,17.0763,37.44,3
2023-02,7.678735,105.27351,3.3,25.300001,0,17,14.904173,37.079998,3
2023-03,11.763064,148.33566,35.099995,117.59999,0.14,22,18.733839,48.6,3
2023-04,16.498749,232.31802,17.5,116,0,22,20.188908,45,3
2023-05,19.310913,206.05203,55.499996,180.7,0,24,18.1041,44.28,3
2023-06,21.14368,205.28642,11.5,80,0,19,14.264361,34.2,3
2023-07,24.003386,277.9612,46.899998,235.3,0,21,20.163212,58.32,3
2023-08,22.955671,252.54254,59.800003,421.40002,0,23,14.372974,31.319998,3
2023-09,21.111387,209.77539,28.4,173.4,0,23,21.602999,46.44,3
2023-10,15.747943,130.41455,17.6,123.6,0,24,13.276144,30.599998,3
2023-11,12.543819,139.57759,23.1,97.4,0,24,17.811815,38.16,3
2023-12,6.4121237,144.86215,1.9000002,12.400001,0.42,15,18.532135,41.039997,3
2024-01,6.087325,85.37121,6.9000006,29.6,2.52,24,14.561099,32.760002,3
2024-02,5.554066,124.935394,3.5,20.4,0,22,14.081478,29.519999,3
2024-03,12.339341,202.82028,8,39.9,0,17,20.163212,46.079998,3
2024-04,17.208124,215.04826,23.300001,163.7,0,24,21.629978,46.8,3
2024-05,19.472136,241.95863,132.9,286.19998,0,24,16.808569,37.44,3
2024-06,21.380278,218.36256,48.2,211.2,0,24,15.021105,34.92,3
2024-07,24.199759,229.2047,57.500004,294.9,0,23,13.0447235,29.88,3
2024-08,25.58094,333.89633,22.100002,144.4,0,18,12.387348,33.12,3
2024-09,22.885973,282.08588,63,472,0,22,16.5688,42.12,3
2024-10,15.473548,125.44318,15.4,142.9,0,22,12.461669,28.8,3
